x,y_upper,y_lower,thickness,camber
0.0,0.0,0.0,0.0,0.0
9.759585575458418e-05,0.0007455474124253583,-0.0004492100892210018,0.0011947575016463602,0.0001481686616021783
0.0003903453232140808,0.00204852562215451,-0.0010744574477547049,0.003122983069909215,0.0004870340871999026
0.0008781341178392688,0.00394343957512181,-0.0019264685010406271,0.0058699080761624375,0.0010084855370405916
0.001560771814970885,0.0058924295356947935,-0.002642075437093333,0.008534504972788126,0.00162517704930073
0.002437991924167937,0.007925476027056412,-0.003174259476854608,0.01109973550391102,0.002375608275100902
0.0035094519932415413,0.010323023054362687,-0.004043924179302787,0.014366947233665474,0.00313954943752995
0.004774733741942205,0.012964418787824877,-0.004934892263970071,0.017899311051794948,0.004014763261927403
0.006233343225249877,0.015785075721047877,-0.005756264015688763,0.02154133973673664,0.005014405852679557
0.007884711026201585,0.01883910769543011,-0.006691643003343842,0.025530750698773953,0.006073732346043134
0.009728192478182518,0.022134503851281868,-0.007660623829201001,0.02979512768048287,0.007236940011040433
0.011763067916593262,0.025419256189022105,-0.008531671165250282,0.03395092735427239,0.008443792511885912
0.013988542959794625,0.028243020854804908,-0.009078500820998541,0.03732152167580345,0.009582260016903184
0.016403748819221464,0.031037962985648863,-0.009253368833065682,0.04029133181871455,0.010892297076291592
0.0190077426385431,0.03393864745405307,-0.009336508803610968,0.04327515625766404,0.012301069325221051
0.021799507861738787,0.03694817984172073,-0.009370348947840657,0.04631852878956139,0.01378891544694004
0.024777954629944476,0.03995703118764587,-0.009373526311631138,0.049330557499277006,0.015291752438007365
0.027941920206915494,0.04277997471890494,-0.009198272264726547,0.05197824698363149,0.016790851227089197
0.03129016943293955,0.04567420690639936,-0.008919171186545359,0.05459337809294472,0.018377517859927
0.034821395207022765,0.04863209802128142,-0.00858848730712541,0.05722058532840683,0.020021805357078003
0.03853421899715992,0.05165084963965051,-0.008215475198644049,0.059866324838294564,0.021717687220503233
0.04242719137849077,0.05468291997844857,-0.007799653987113353,0.06248257396556192,0.023441632995667608
0.04649879259913142,0.05778241341514249,-0.007343186626429042,0.06512560004157153,0.025219613394356723
0.050747433173460144,0.06079601578493301,-0.006843931799786145,0.06763994758471915,0.026976041992573432
0.05517145450262634,0.06372188134301386,-0.00627410115761275,0.06999598250062661,0.028723890092700554
0.05976912952204011,0.06663566405975949,-0.005601217383880391,0.07223688144363988,0.030517223337939547
0.06453866337558939,0.06957827204497516,-0.004930841108007768,0.07450911315298293,0.0323237154684837
0.06947819411632222,0.07256039762724074,-0.004224239679565589,0.07678463730680633,0.03416807897383758
0.07458579343332,0.07556616690485533,-0.0035557670329264685,0.0791219339377818,0.03600519993596443
0.07985946740447786,0.07825087797234535,-0.002721348997096404,0.08097222696944176,0.037764764487624475
0.08529715727489912,0.0810183042444741,-0.0018993128460180128,0.08291761709049211,0.039559495699228044
0.0908967402605988,0.0837790006620868,-0.0010621571377049735,0.08484115779979177,0.041358421762190914
0.0966560303772035,0.08652714553310123,-0.00021678787411213984,0.08674393340721337,0.043155178829494545
0.10257277929332337,0.08917135809490187,0.0005962035462158191,0.08857515454868606,0.04488378082055885
0.10864467720826337,0.09161290845560677,0.0014583876628493572,0.0901545207927574,0.04653564805922806
0.1148693537537312,0.09401983922003332,0.002402421064250121,0.0916174181557832,0.04821113014214172
0.12124437891918993,0.09638811412889971,0.003345300077840202,0.0930428140510595,0.049866707103369955
0.12776726400049365,0.09884045601671375,0.004250840244455351,0.0945896157722584,0.05154564813058455
0.1344354625714363,0.10119777223392942,0.005177462375640131,0.0960203098582893,0.05318761730478478
0.14124637147783442,0.10355707859023272,0.0060923531012422386,0.09746472548899048,0.054824715845737476
0.14819733185375528,0.10586661730185715,0.007030144036307716,0.09883647326554944,0.056448380669082435
0.15528563015949404,0.10786694350258956,0.007929297912497038,0.09993764559009252,0.0578981207075433
0.16250849924089472,0.10984308824329056,0.008787463928118348,0.1010556243151722,0.05931527608570445
0.16986311940960136,0.11164016066409355,0.009783376215399174,0.10185678444869437,0.06071176843974636
0.17734661954381747,0.113703265529373,0.010549996045290166,0.10315326948408284,0.062126630787331584
0.1849560782091445,0.11536422747410344,0.011589828355335306,0.10377439911876814,0.06347702791471938
0.1926885247990613,0.11727968492108784,0.012356499121148244,0.1049231857999396,0.06481809202111805
0.20054094069459988,0.11889117666303667,0.013277021343587707,0.10561415531944897,0.06608409900331219
0.20851026044276394,0.1201735095664491,0.014038840473866082,0.10613466909258301,0.06710617502015759
